State,Measure ID,Measure Name,Number of Hospitals Worse,Number of Hospitals Same,Number of Hospitals Better,Number of Hospitals Too Few,Footnote,Start Date,End Date
OH,PSI_09,Postoperative hemorrhage or hematoma rate,1.00 ,122.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2021
PA,PSI_08,In-hospital fall with hip fracture rate,1.00 ,150.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2021
UT,PSI_03,Pressure ulcer rate,1.00 ,31.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2021
UT,PSI_08,In-hospital fall with hip fracture rate,1.00 ,31.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2021
WA,PSI_10,Postoperative acute kidney injury requiring dialysis rate,1.00 ,46.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2021
WA,PSI_11,Postoperative respiratory failure rate,1.00 ,46.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2021
AK,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0.00 ,8.00 ,0.00 ,2.00 ,,04/01/2019,03/31/2022
CO,PSI_13,Postoperative sepsis rate,0.00 ,49.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2021
CT,MORT_30_CABG,Death rate for CABG surgery patients,0.00 ,8.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2022
CT,MORT_30_COPD,Death rate for COPD patients,0.00 ,26.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2022
CT,MORT_30_HF,Death rate for heart failure patients,0.00 ,22.00 ,4.00 ,2.00 ,,07/01/2019,06/30/2022
CT,MORT_30_STK,Death rate for stroke patients,0.00 ,24.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2022
CT,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0.00 ,25.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2021
DC,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0.00 ,5.00 ,0.00 ,2.00 ,,04/01/2019,03/31/2022
DC,MORT_30_AMI,Death rate for heart attack patients,0.00 ,4.00 ,1.00 ,2.00 ,,07/01/2019,06/30/2022
DC,PSI_04,Death rate among surgical inpatients with serious treatable complications,0.00 ,5.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2021
GA,PSI_06,Iatrogenic pneumothorax rate,0.00 ,101.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2021
IA,PSI_09,Postoperative hemorrhage or hematoma rate,0.00 ,33.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2021
IA,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0.00 ,31.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2021
IA,PSI_11,Postoperative respiratory failure rate,0.00 ,31.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2021
IA,PSI_13,Postoperative sepsis rate,0.00 ,31.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2021
IN,PSI_09,Postoperative hemorrhage or hematoma rate,0.00 ,80.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2021
LA,PSI_06,Iatrogenic pneumothorax rate,0.00 ,88.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2021
LA,PSI_08,In-hospital fall with hip fracture rate,0.00 ,88.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2021
MA,MORT_30_HF,Death rate for heart failure patients,0.00 ,44.00 ,12.00 ,2.00 ,,07/01/2019,06/30/2022
MA,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0.00 ,52.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2021
MA,PSI_13,Postoperative sepsis rate,0.00 ,52.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2021
MD,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0.00 ,43.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2021
MD,PSI_13,Postoperative sepsis rate,0.00 ,42.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2021
MD,PSI_14,Postoperative wound dehiscence rate,0.00 ,42.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2021
MS,PSI_06,Iatrogenic pneumothorax rate,0.00 ,58.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2021
MT,PSI_15,Abdominopelvic accidental puncture or laceration rate,0.00 ,12.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2021
ND,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0.00 ,9.00 ,0.00 ,2.00 ,,04/01/2019,03/31/2022
NJ,MORT_30_CABG,Death rate for CABG surgery patients,0.00 ,15.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2022
NJ,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0.00 ,63.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2021
NJ,PSI_11,Postoperative respiratory failure rate,0.00 ,62.00 ,1.00 ,2.00 ,,07/01/2019,06/30/2021
NM,MORT_30_CABG,Death rate for CABG surgery patients,0.00 ,3.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2022
NM,PSI_09,Postoperative hemorrhage or hematoma rate,0.00 ,24.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2021
NM,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,0.00 ,24.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2021
NM,PSI_15,Abdominopelvic accidental puncture or laceration rate,0.00 ,25.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2021
OK,PSI_06,Iatrogenic pneumothorax rate,0.00 ,78.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2021
OK,PSI_08,In-hospital fall with hip fracture rate,0.00 ,78.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2021
PA,PSI_06,Iatrogenic pneumothorax rate,0.00 ,151.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2021
RI,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0.00 ,7.00 ,0.00 ,2.00 ,,04/01/2019,03/31/2022
RI,MORT_30_STK,Death rate for stroke patients,0.00 ,7.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2022
SD,PSI_15,Abdominopelvic accidental puncture or laceration rate,0.00 ,17.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2021
UT,MORT_30_CABG,Death rate for CABG surgery patients,0.00 ,7.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2022
UT,PSI_06,Iatrogenic pneumothorax rate,0.00 ,32.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2021
UT,PSI_09,Postoperative hemorrhage or hematoma rate,0.00 ,31.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2021
UT,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0.00 ,30.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2021
UT,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,0.00 ,31.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2021
UT,PSI_13,Postoperative sepsis rate,0.00 ,30.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2021
WI,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0.00 ,65.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2021
WI,PSI_13,Postoperative sepsis rate,0.00 ,64.00 ,1.00 ,2.00 ,,07/01/2019,06/30/2021
WV,PSI_06,Iatrogenic pneumothorax rate,0.00 ,31.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2021
WV,PSI_08,In-hospital fall with hip fracture rate,0.00 ,31.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2021
WY,PSI_14,Postoperative wound dehiscence rate,0.00 ,9.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2021
FL,PSI_03,Pressure ulcer rate,14.00 ,155.00 ,3.00 ,1.00 ,,07/01/2019,06/30/2021
SC,PSI_03,Pressure ulcer rate,5.00 ,50.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
CO,PSI_11,Postoperative respiratory failure rate,4.00 ,45.00 ,1.00 ,1.00 ,,07/01/2019,06/30/2021
MD,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,4.00 ,40.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
VA,PSI_03,Pressure ulcer rate,4.00 ,70.00 ,1.00 ,1.00 ,,07/01/2019,06/30/2021
MA,PSI_09,Postoperative hemorrhage or hematoma rate,3.00 ,51.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
MA,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,3.00 ,51.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
WA,PSI_03,Pressure ulcer rate,3.00 ,47.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
WI,PSI_15,Abdominopelvic accidental puncture or laceration rate,3.00 ,63.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
AZ,PSI_03,Pressure ulcer rate,2.00 ,64.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
DC,PSI_13,Postoperative sepsis rate,2.00 ,4.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
FL,PSI_08,In-hospital fall with hip fracture rate,2.00 ,170.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
HI,PSI_15,Abdominopelvic accidental puncture or laceration rate,2.00 ,9.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
VA,PSI_08,In-hospital fall with hip fracture rate,2.00 ,73.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
WI,PSI_03,Pressure ulcer rate,2.00 ,66.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
CO,PSI_15,Abdominopelvic accidental puncture or laceration rate,1.00 ,47.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
CT,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,1.00 ,25.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
IN,PSI_08,In-hospital fall with hip fracture rate,1.00 ,82.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
MA,PSI_15,Abdominopelvic accidental puncture or laceration rate,1.00 ,53.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
MD,PSI_09,Postoperative hemorrhage or hematoma rate,1.00 ,43.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
NE,PSI_10,Postoperative acute kidney injury requiring dialysis rate,1.00 ,23.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
NJ,MORT_30_HF,Death rate for heart failure patients,1.00 ,60.00 ,3.00 ,1.00 ,,07/01/2019,06/30/2022
NJ,PSI_09,Postoperative hemorrhage or hematoma rate,1.00 ,63.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
OH,PSI_08,In-hospital fall with hip fracture rate,1.00 ,127.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
OK,PSI_03,Pressure ulcer rate,1.00 ,76.00 ,1.00 ,1.00 ,,07/01/2019,06/30/2021
SC,PSI_09,Postoperative hemorrhage or hematoma rate,1.00 ,52.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
SC,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,1.00 ,52.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
VT,MORT_30_HF,Death rate for heart failure patients,1.00 ,13.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2022
VT,MORT_30_PN,Death rate for pneumonia patients,1.00 ,12.00 ,1.00 ,1.00 ,,07/01/2019,06/30/2022
WA,PSI_06,Iatrogenic pneumothorax rate,1.00 ,49.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
WY,PSI_11,Postoperative respiratory failure rate,1.00 ,9.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
AZ,PSI_06,Iatrogenic pneumothorax rate,0.00 ,66.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
AZ,PSI_08,In-hospital fall with hip fracture rate,0.00 ,66.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
CO,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0.00 ,50.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
CT,MORT_30_PN,Death rate for pneumonia patients,0.00 ,23.00 ,4.00 ,1.00 ,,07/01/2019,06/30/2022
CT,PSI_03,Pressure ulcer rate,0.00 ,27.00 ,1.00 ,1.00 ,,07/01/2019,06/30/2021
CT,PSI_06,Iatrogenic pneumothorax rate,0.00 ,28.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
CT,PSI_08,In-hospital fall with hip fracture rate,0.00 ,28.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
CT,PSI_09,Postoperative hemorrhage or hematoma rate,0.00 ,26.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
CT,PSI_14,Postoperative wound dehiscence rate,0.00 ,26.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
CT,PSI_15,Abdominopelvic accidental puncture or laceration rate,0.00 ,26.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
DC,MORT_30_STK,Death rate for stroke patients,0.00 ,4.00 ,1.00 ,1.00 ,,07/01/2019,06/30/2022
DC,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0.00 ,6.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
DC,PSI_11,Postoperative respiratory failure rate,0.00 ,6.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
DE,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0.00 ,5.00 ,0.00 ,1.00 ,,04/01/2019,03/31/2022
DE,MORT_30_AMI,Death rate for heart attack patients,0.00 ,5.00 ,1.00 ,1.00 ,,07/01/2019,06/30/2022
DE,PSI_04,Death rate among surgical inpatients with serious treatable complications,0.00 ,5.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
DE,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0.00 ,6.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
DE,PSI_11,Postoperative respiratory failure rate,0.00 ,6.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
DE,PSI_13,Postoperative sepsis rate,0.00 ,5.00 ,1.00 ,1.00 ,,07/01/2019,06/30/2021
DE,PSI_14,Postoperative wound dehiscence rate,0.00 ,6.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
FL,PSI_06,Iatrogenic pneumothorax rate,0.00 ,172.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
IA,MORT_30_CABG,Death rate for CABG surgery patients,0.00 ,10.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2022
IN,PSI_06,Iatrogenic pneumothorax rate,0.00 ,83.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
KS,MORT_30_CABG,Death rate for CABG surgery patients,0.00 ,13.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2022
MA,MORT_30_CABG,Death rate for CABG surgery patients,0.00 ,12.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2022
MD,MORT_30_CABG,Death rate for CABG surgery patients,0.00 ,10.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2022
MI,PSI_08,In-hospital fall with hip fracture rate,0.00 ,96.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
MN,PSI_09,Postoperative hemorrhage or hematoma rate,0.00 ,47.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
MN,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,0.00 ,47.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
MT,MORT_30_CABG,Death rate for CABG surgery patients,0.00 ,5.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2022
MT,PSI_14,Postoperative wound dehiscence rate,0.00 ,12.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
NC,MORT_30_CABG,Death rate for CABG surgery patients,0.00 ,21.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2022
NC,PSI_06,Iatrogenic pneumothorax rate,0.00 ,89.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
NC,PSI_08,In-hospital fall with hip fracture rate,0.00 ,89.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
ND,PSI_04,Death rate among surgical inpatients with serious treatable complications,0.00 ,6.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
NE,PSI_11,Postoperative respiratory failure rate,0.00 ,23.00 ,1.00 ,1.00 ,,07/01/2019,06/30/2021
NE,PSI_13,Postoperative sepsis rate,0.00 ,24.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
NE,PSI_15,Abdominopelvic accidental puncture or laceration rate,0.00 ,24.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
NH,MORT_30_PN,Death rate for pneumonia patients,0.00 ,25.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2022
NJ,PSI_14,Postoperative wound dehiscence rate,0.00 ,64.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
NM,PSI_06,Iatrogenic pneumothorax rate,0.00 ,30.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
NM,PSI_08,In-hospital fall with hip fracture rate,0.00 ,30.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
NV,PSI_14,Postoperative wound dehiscence rate,0.00 ,20.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
OH,PSI_06,Iatrogenic pneumothorax rate,0.00 ,128.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
OR,MORT_30_CABG,Death rate for CABG surgery patients,0.00 ,10.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2022
OR,PSI_09,Postoperative hemorrhage or hematoma rate,0.00 ,34.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
OR,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,0.00 ,33.00 ,1.00 ,1.00 ,,07/01/2019,06/30/2021
OR,PSI_14,Postoperative wound dehiscence rate,0.00 ,33.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
OR,PSI_15,Abdominopelvic accidental puncture or laceration rate,0.00 ,34.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
SC,MORT_30_CABG,Death rate for CABG surgery patients,0.00 ,16.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2022
SC,PSI_06,Iatrogenic pneumothorax rate,0.00 ,55.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
SC,PSI_08,In-hospital fall with hip fracture rate,0.00 ,55.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
SD,PSI_06,Iatrogenic pneumothorax rate,0.00 ,20.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
SD,PSI_08,In-hospital fall with hip fracture rate,0.00 ,20.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
VA,PSI_06,Iatrogenic pneumothorax rate,0.00 ,75.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
VT,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0.00 ,12.00 ,0.00 ,1.00 ,,04/01/2019,03/31/2022
WA,MORT_30_CABG,Death rate for CABG surgery patients,0.00 ,15.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2022
WA,PSI_08,In-hospital fall with hip fracture rate,0.00 ,50.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
WI,PSI_06,Iatrogenic pneumothorax rate,0.00 ,68.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
WI,PSI_08,In-hospital fall with hip fracture rate,0.00 ,68.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
WY,MORT_30_CABG,Death rate for CABG surgery patients,0.00 ,1.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2022
WY,PSI_09,Postoperative hemorrhage or hematoma rate,0.00 ,11.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
WY,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0.00 ,10.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
WY,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,0.00 ,11.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
WY,PSI_13,Postoperative sepsis rate,0.00 ,10.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
WY,PSI_15,Abdominopelvic accidental puncture or laceration rate,0.00 ,10.00 ,0.00 ,1.00 ,,07/01/2019,06/30/2021
MD,PSI_03,Pressure ulcer rate,13.00 ,33.00 ,1.00 ,0.00 ,,07/01/2019,06/30/2021
IL,PSI_03,Pressure ulcer rate,9.00 ,119.00 ,1.00 ,0.00 ,,07/01/2019,06/30/2021
AR,PSI_03,Pressure ulcer rate,6.00 ,41.00 ,0.00 ,0.00 ,,07/01/2019,06/30/2021
NC,PSI_03,Pressure ulcer rate,6.00 ,82.00 ,1.00 ,0.00 ,,07/01/2019,06/30/2021
MO,PSI_03,Pressure ulcer rate,5.00 ,68.00 ,0.00 ,0.00 ,,07/01/2019,06/30/2021
NJ,MORT_30_PN,Death rate for pneumonia patients,5.00 ,56.00 ,4.00 ,0.00 ,,07/01/2019,06/30/2022
AL,PSI_03,Pressure ulcer rate,4.00 ,81.00 ,0.00 ,0.00 ,,07/01/2019,06/30/2021
DE,PSI_03,Pressure ulcer rate,4.00 ,3.00 ,0.00 ,0.00 ,,07/01/2019,06/30/2021
KY,PSI_03,Pressure ulcer rate,4.00 ,59.00 ,1.00 ,0.00 ,,07/01/2019,06/30/2021
NJ,PSI_03,Pressure ulcer rate,4.00 ,61.00 ,0.00 ,0.00 ,,07/01/2019,06/30/2021
NV,PSI_11,Postoperative respiratory failure rate,4.00 ,18.00 ,0.00 ,0.00 ,,07/01/2019,06/30/2021
OR,PSI_03,Pressure ulcer rate,4.00 ,31.00 ,1.00 ,0.00 ,,07/01/2019,06/30/2021
TN,PSI_03,Pressure ulcer rate,4.00 ,81.00 ,1.00 ,0.00 ,,07/01/2019,06/30/2021
MA,PSI_03,Pressure ulcer rate,3.00 ,53.00 ,0.00 ,0.00 ,,07/01/2019,06/30/2021
NE,PSI_03,Pressure ulcer rate,3.00 ,22.00 ,0.00 ,0.00 ,,07/01/2019,06/30/2021
TN,PSI_08,In-hospital fall with hip fracture rate,3.00 ,83.00 ,0.00 ,0.00 ,,07/01/2019,06/30/2021
DC,PSI_03,Pressure ulcer rate,2.00 ,5.00 ,0.00 ,0.00 ,,07/01/2019,06/30/2021
DC,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,2.00 ,5.00 ,0.00 ,0.00 ,,07/01/2019,06/30/2021
HI,PSI_03,Pressure ulcer rate,2.00 ,10.00 ,0.00 ,0.00 ,,07/01/2019,06/30/2021
ME,PSI_03,Pressure ulcer rate,2.00 ,16.00 ,0.00 ,0.00 ,,07/01/2019,06/30/2021
ND,PSI_03,Pressure ulcer rate,2.00 ,6.00 ,0.00 ,0.00 ,,07/01/2019,06/30/2021
NJ,PSI_08,In-hospital fall with hip fracture rate,2.00 ,63.00 ,0.00 ,0.00 ,,07/01/2019,06/30/2021
NJ,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,2.00 ,63.00 ,0.00 ,0.00 ,,07/01/2019,06/30/2021
WI,PSI_09,Postoperative hemorrhage or hematoma rate,2.00 ,65.00 ,0.00 ,0.00 ,,07/01/2019,06/30/2021
AK,PSI_03,Pressure ulcer rate,1.00 ,7.00 ,0.00 ,0.00 ,,07/01/2019,06/30/2021
AK,PSI_14,Postoperative wound dehiscence rate,1.00 ,6.00 ,0.00 ,0.00 ,,07/01/2019,06/30/2021
AR,PSI_06,Iatrogenic pneumothorax rate,1.00 ,46.00 ,0.00 ,0.00 ,,07/01/2019,06/30/2021
AR,PSI_08,In-hospital fall with hip fracture rate,1.00 ,46.00 ,0.00 ,0.00 ,,07/01/2019,06/30/2021
CO,PSI_03,Pressure ulcer rate,1.00 ,51.00 ,0.00 ,0.00 ,,07/01/2019,06/30/2021
CO,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,1.00 ,50.00 ,0.00 ,0.00 ,,07/01/2019,06/30/2021
DE,MORT_30_PN,Death rate for pneumonia patients,1.00 ,6.00 ,0.00 ,0.00 ,,07/01/2019,06/30/2022
DE,PSI_15,Abdominopelvic accidental puncture or laceration rate,1.00 ,6.00 ,0.00 ,0.00 ,,07/01/2019,06/30/2021
IA,PSI_03,Pressure ulcer rate,1.00 ,35.00 ,0.00 ,0.00 ,,07/01/2019,06/30/2021
ID,PSI_03,Pressure ulcer rate,1.00 ,15.00 ,0.00 ,0.00 ,,07/01/2019,06/30/2021
ID,PSI_08,In-hospital fall with hip fracture rate,1.00 ,15.00 ,0.00 ,0.00 ,,07/01/2019,06/30/2021
ID,PSI_10,Postoperative acute kidney injury requiring dialysis rate,1.00 ,15.00 ,0.00 ,0.00 ,,07/01/2019,06/30/2021
IL,PSI_06,Iatrogenic pneumothorax rate,1.00 ,128.00 ,0.00 ,0.00 ,,07/01/2019,06/30/2021
KS,PSI_08,In-hospital fall with hip fracture rate,1.00 ,52.00 ,0.00 ,0.00 ,,07/01/2019,06/30/2021
KY,PSI_08,In-hospital fall with hip fracture rate,1.00 ,63.00 ,0.00 ,0.00 ,,07/01/2019,06/30/2021
MA,PSI_08,In-hospital fall with hip fracture rate,1.00 ,55.00 ,0.00 ,0.00 ,,07/01/2019,06/30/2021
ME,PSI_15,Abdominopelvic accidental puncture or laceration rate,1.00 ,17.00 ,0.00 ,0.00 ,,07/01/2019,06/30/2021
MI,PSI_06,Iatrogenic pneumothorax rate,1.00 ,96.00 ,0.00 ,0.00 ,,07/01/2019,06/30/2021
MN,PSI_03,Pressure ulcer rate,1.00 ,45.00 ,3.00 ,0.00 ,,07/01/2019,06/30/2021
MO,PSI_08,In-hospital fall with hip fracture rate,1.00 ,72.00 ,0.00 ,0.00 ,,07/01/2019,06/30/2021
MT,PSI_03,Pressure ulcer rate,1.00 ,13.00 ,0.00 ,0.00 ,,07/01/2019,06/30/2021
ND,PSI_11,Postoperative respiratory failure rate,1.00 ,6.00 ,0.00 ,0.00 ,,07/01/2019,06/30/2021
ND,PSI_15,Abdominopelvic accidental puncture or laceration rate,1.00 ,6.00 ,0.00 ,0.00 ,,07/01/2019,06/30/2021
NH,PSI_03,Pressure ulcer rate,1.00 ,11.00 ,1.00 ,0.00 ,,07/01/2019,06/30/2021
NH,PSI_11,Postoperative respiratory failure rate,1.00 ,11.00 ,1.00 ,0.00 ,,07/01/2019,06/30/2021
NJ,PSI_15,Abdominopelvic accidental puncture or laceration rate,1.00 ,64.00 ,0.00 ,0.00 ,,07/01/2019,06/30/2021
RI,PSI_03,Pressure ulcer rate,1.00 ,10.00 ,0.00 ,0.00 ,,07/01/2019,06/30/2021
RI,PSI_15,Abdominopelvic accidental puncture or laceration rate,1.00 ,10.00 ,0.00 ,0.00 ,,07/01/2019,06/30/2021
WI,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,1.00 ,66.00 ,0.00 ,0.00 ,,07/01/2019,06/30/2021
WY,PSI_03,Pressure ulcer rate,1.00 ,11.00 ,0.00 ,0.00 ,,07/01/2019,06/30/2021
AK,MORT_30_CABG,Death rate for CABG surgery patients,0.00 ,2.00 ,0.00 ,0.00 ,,07/01/2019,06/30/2022
AK,PSI_06,Iatrogenic pneumothorax rate,0.00 ,8.00 ,0.00 ,0.00 ,,07/01/2019,06/30/2021
AK,PSI_08,In-hospital fall with hip fracture rate,0.00 ,8.00 ,0.00 ,0.00 ,,07/01/2019,06/30/2021
AK,PSI_09,Postoperative hemorrhage or hematoma rate,0.00 ,7.00 ,0.00 ,0.00 ,,07/01/2019,06/30/2021
AK,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0.00 ,6.00 ,0.00 ,0.00 ,,07/01/2019,06/30/2021
AK,PSI_11,Postoperative respiratory failure rate,0.00 ,6.00 ,0.00 ,0.00 ,,07/01/2019,06/30/2021
